name,status,description,date,time
Nextroll,"Hiring freeze,Layoffs","At least 8 reports of layoffs claiming multiple teams, 174 employees laid off starting March 30th, and percentages ranging from 30-50% of company laid off. ",4/1/2020,5:25pm
NextStep Resources Search Firm,Hiring,Direct Hire Search Firm,4/12/2020,10:36pm
Nexudus,Hiring,,3/30/2020,7:35pm
NFP,Hiring freeze,,3/30/2020,9:05am
nfu mutual,Hiring,,4/1/2020,5:38am
NFX,Hiring,Reports of hiring with links to job postings below:,3/30/2020,3:25pm
NGP VAN,Hiring freeze,Across the board. Another reports the freeze is for all roles.,3/30/2020,9:23am
Niagara Bottling,Hiring,Employee states companies is benefiting due to people stocking bottle water and drinks. My interview for engineering job is ongoing.,3/30/2020,9:51pm
Niantic,"Hiring freeze,Hiring","Honoring existing offers, hiring freeze only on some roles. ",3/28/2020,10:10pm
NIC,Hiring,,3/31/2020,3:30pm
Nice,Hiring,,4/3/2020,11:09pm
NICE inContact,Hiring freeze,,3/28/2020,7:41pm
Niche,Hiring,,4/8/2020,1:24pm
Nicklaus Childrens Hospital,Hiring freeze,,4/9/2020,6:40am
Nielsen Inc,"Hiring freeze,Hiring",Multiple reports of continued hiring and a hiring freeze. See below:,4/6/2020,3:36pm
Nielsen+Partner,Hiring,Singapore branch is hiring,4/6/2020,9:11am
Nightfall AI,Hiring,,4/8/2020,1:10pm
Nightwatch.io,Hiring,"Hiring head of marketing, devops engineer, backend developer, front-end developer",3/30/2020,3:18am
Nike,"Hiring freeze,Hiring",Multiple reports of a hiring freeze and continued hiring. See below:,4/2/2020,1:57pm
Nikola Motor Company,Hiring,"Software Engineers, Electrical Engineers, Administration, etc. All roles are open.",4/7/2020,12:44pm
Nine Line Apparel,Layoffs,,3/30/2020,6:37pm
Ninjacart,Hiring,Hiring software developers,3/30/2020,11:35am
Nintendo,Hiring,,3/30/2020,3:48pm
NISC,Hiring freeze,,4/3/2020,11:01am
Nissan North America,Hiring freeze,Internship program cancelled,4/1/2020,11:55am
Nisum,Layoffs,10% of employees with no clients- 3 reports of layoffs,3/30/2020,8:13pm
Nixon Peabody LLP,"Layoffs,Hiring freeze",Claims of layoffs and a hiring freeze. See below:,4/14/2020,2:42pm
nj,Hiring,cobol,4/10/2020,3:13pm
NJ Transit,Hiring,,4/5/2020,9:37pm
NlB,Hiring,,4/1/2020,11:31pm
Noble Energy,Hiring freeze,Furloughs and Paycuts...Rescinded Internships,4/7/2020,9:49pm
Noblis,Hiring,https://careers.noblis.org/,4/1/2020,11:01am
NoBroker,Hiring freeze,,3/31/2020,1:58am
Nobu,Layoffs,,4/3/2020,4:41am
nobu,Hiring freeze,,3/31/2020,12:24am
Nokia,Hiring,"Reports of hiring, a hiring freeze, and claims of layoffs. See below:",3/31/2020,1:56pm
Nomis Solutions,Hiring,https://www.nomissolutions.com/about/careers,3/31/2020,10:54am
Nomura,"Hiring freeze,Hiring",Conflicting reports of hiring and hiring freeze,4/10/2020,1:36pm
Noodle.ai,Layoffs,,4/8/2020,1:06pm
Noom,Hiring,1 report of hiring across the board. 1 report of a hiring freeze with the submitter's offer deferred. ,3/30/2020,2:17pm
NORC at the University of Chicago,Hiring freeze,,4/4/2020,5:38am
Nordcloud,Hiring freeze,,3/30/2020,11:09am
Nordea,"Hiring freeze,Hiring",,4/9/2020,7:55pm
Nordstrom,"Hiring freeze,Offers rescinded",Furlough instead of laid off. 2 reports of hiring freeze.,3/28/2020,7:11pm
Nordstrom Tech,Hiring freeze,,3/28/2020,6:45am
NoRedInk,Hiring,Actively hiring for new roles company-wide.,3/30/2020,3:29pm
Norfolk Southern,Hiring freeze,IT,4/2/2020,12:27am
North Highland Consulting,Hiring,"We have carefully examined each hiring need and prioritized the roles that will have the most impact for our clients.  By browsing this careers site and applying to open opportunities, you can help make a difference!",3/31/2020,10:53am
North Star Network,Hiring,,3/30/2020,3:10pm
North Star Resource Group,Hiring,Hiring advisors and team members with digital interviews. Almost all employees are working from home.,4/1/2020,10:54am
Northeastern university ,Hiring,,4/6/2020,10:42am
northern ,Hiring,,4/5/2020,5:15pm
Northern Trust,"Hiring freeze,Hiring",Hiring freeze until further notice. Another report stated - Was informed all offers and start dates are still being honored (4/3).,4/6/2020,6:45pm
Northline,Hiring,,4/15/2020,4:17pm
Northout,Hiring freeze,,3/29/2020,9:51am
Northrop Grumman ,Hiring,Reports of hiring. Details below:,3/28/2020,12:07pm
northrup grummond,Hiring,,4/13/2020,11:31am
Northvolt,Hiring,,4/5/2020,4:20am
Northwell,Hiring,,4/15/2020,10:33am
Northwestern,Hiring,,4/9/2020,5:27pm
Northwestern Mutual,Hiring,Reports of continued hiring. Details below:,3/30/2020,10:04pm
Northwestern University ,Hiring,,4/9/2020,12:44am
NortonLifeLock,Layoffs,,4/1/2020,1:33am
Norvatis,Hiring,Research Technician,4/12/2020,8:22pm
Norwegian Cruise Line,"Hiring freeze,Layoffs",Multiple claims of layoffs. Details below:,4/16/2020,1:37pm
Nosto,Hiring freeze,All hiring frozen; 20% salary cut for entire company,4/7/2020,12:50am
Notion,Hiring,,3/27/2020,11:46am
Nova Biomedical,Hiring,,4/1/2020,8:52am
Nova Credit,Hiring,"We are hiring 2 Software Engineers, 1 Engineering Manager, 1 Finance, 1 Head of Product, 1 Chief of Staff",3/27/2020,9:18pm
Nova Southeastern University,Hiring freeze,,4/6/2020,7:29am
Novartis,"Layoffs,Hiring freeze","Report from employee: ""Even though they say they are hiring, both Novartis and Novartis Institute for Biomedical Research are laying off. I was one of those impacted and they also strangely and ubruptly closed over 50% of the China site right when COVID hit in December.""",4/7/2020,4:01pm
Novelis,Hiring freeze,,4/2/2020,2:34am
Novo Nordisk,Hiring,2020 internship will proceed (4/16),4/1/2020,4:18pm
novoed,Hiring,,3/30/2020,6:05pm
Nowcom,Hiring freeze,,3/31/2020,3:32pm
Noyo,Hiring,"Actively hiring engineering, design, operations in San Francisco, CA and Durham, NC",3/31/2020,11:59pm
Nozomi Networks,Hiring freeze,,4/9/2020,10:20am
NPd,Hiring freeze,,4/1/2020,3:57am
NPR,"Hiring,Hiring freeze",Reports of hiring and a hiring freeze. Details below:,4/16/2020,12:04pm
NPS Corporation,Hiring,Machine Operators and Maintenance Techs,3/31/2020,12:31pm
NRC Health,Hiring,"Mix of IT, operations and Customer Success",4/3/2020,1:06pm
NRG,Hiring,,4/4/2020,7:56pm
NRT,Hiring,,3/30/2020,12:51pm
NS1,Hiring freeze,,4/1/2020,4:56pm
NS8,Hiring,"Actively recruiting engineers, PMs, marketers, product designers, and sales roles across the organization",3/27/2020,11:12pm
NTT,Hiring,Cybersecurity,3/30/2020,5:00am
NTT DATA ,Hiring,All region,4/9/2020,11:15am
ntuc,Hiring,,3/30/2020,9:52pm
NTWRK,Hiring,"Engineering (QA Analyst, Eng Manager, sr/software engineer)",4/1/2020,1:03pm
Nuance,"Hiring,Hiring freeze",,4/8/2020,6:01pm
Nubank ,Hiring freeze,,3/31/2020,4:52pm
Nuffsaid,Hiring,"Hiring engineers currently, and will be hiring other roles within the next 6 mos",4/1/2020,4:00pm
num pang,Hiring,,3/31/2020,12:19pm
Numerator,Hiring,https://www.numerator.com/careers,3/30/2020,6:13pm
Nuna,Hiring,Hiring across the board,3/27/2020,6:27pm
NuoDB,"Hiring freeze,Layoffs",Reports of layoffs. Details below:,4/13/2020,5:35pm
NuOrder,Layoffs,"All Teams, 2 repors",4/6/2020,7:43pm
Nuro,Hiring,Except for Robot Operations (in-car) as they won't be able to do a driving interview,3/28/2020,4:48am
Nurx,Layoffs,,4/6/2020,11:49pm
Nutanix,"Layoffs,Hiring freeze",Multiple reports of a hiring freeze and claims of layoffs. See below:,4/11/2020,5:43pm
Nutrien Ag Solutions ,Hiring,,4/1/2020,11:18am
Nuveen,Hiring freeze,Report from internal employee,3/31/2020,2:51pm
"nuVizz, Inc.",Hiring freeze,Temporary freeze,4/1/2020,10:18am
NVIDIA,"Hiring,Hiring freeze",Conflicting reports of a hiring freeze and hiring. Details below:,4/10/2020,4:27pm
NXP USA,"Hiring freeze,Hiring",Company wide. 1 report of hiring,4/8/2020,5:44pm
NYC Health,Hiring,Psych,3/30/2020,12:24pm
NYCB,Hiring freeze,,4/11/2020,7:56pm
NYCTutoring.com,Hiring freeze,Hiring freeze on tutors,3/31/2020,11:29am
Nylas,Hiring,"Actively hiring for multiple positions in our San Francisco, New York City, and Denver offices",3/30/2020,11:38am
NYU,Hiring freeze,,3/31/2020,3:22pm
nyu langone,Hiring,,4/2/2020,4:26pm
O'Reilly Auto Parts,Hiring freeze,,3/31/2020,10:38pm
O-I,Hiring freeze,,4/16/2020,7:47am
o9 Solutions,Hiring freeze,Hiring freeze in Europe; Hiring in the US,4/1/2020,2:29pm
Oak Ridge National Laboratory,Hiring,Hiring mostly research scientists and engineers in various domains,3/31/2020,2:37pm
OakNorth,Layoffs,Debt Finance team in New York Laid Off,4/6/2020,11:49pm
OANDA,Hiring,All- multiple reports,4/1/2020,12:02pm
Objective ECM,Hiring freeze,IT Consultant,3/30/2020,6:21pm
Observe.AI,Hiring,"Hiring across Product, Eng, ML and CSM",3/31/2020,9:32pm
ObservePoint,Layoffs,5 reports of layoffs,3/30/2020,10:16pm
Obu Interactive,Hiring,"Social Media Manager, UX Designer, Sales Assistant",3/28/2020,5:33pm
Obviously Social LLC,Hiring,Reports of salary cuts. ,4/6/2020,2:29pm
Ocado,Hiring,"sorry, the previous one was a mistake, Ocado (Ocado Technology in specific) is actually hiring",3/31/2020,7:23am
Ocado Technology,Hiring,,3/31/2020,1:55pm
Occidental Petroleum,Layoffs,30% Paycut across firm- reports of hiring freeze and layoffs,4/1/2020,4:15pm
Ocorian ,Hiring freeze,,4/13/2020,6:40pm
Ocrolus,"Hiring,Hiring freeze",1 report of hiring and 1 report of hiring freeze,4/7/2020,12:20pm
Octane AI,Hiring,"Hiring engineers and product designers now, more roles soon. Focused on ecommerce, a vertical that needs more help.",3/28/2020,5:42pm
Octopai,Hiring,,3/29/2020,10:58am
Ocwen,Hiring,,4/8/2020,10:55am
oerlikon metco,Hiring,,4/2/2020,1:03pm
Offerup,Hiring,Hiring for Data Platform team,3/27/2020,9:19pm
Office of Economic Development,Hiring freeze,,4/7/2020,12:08am
Ofs,Hiring freeze,,4/1/2020,2:03am
OFX Group,Hiring,"Hiring in London, Sydney, San Fran and Toronto offices. Hiring technology (Engineers, Product, Quality, Security, Data), sales, customer service, compliance ",4/1/2020,8:16pm
Ogilvy,Hiring freeze,,3/29/2020,10:08am
Ogletree,Hiring freeze,,3/30/2020,4:15pm
Oh My Green,Layoffs,,3/27/2020,8:22pm
Oh&e,Hiring,,4/1/2020,10:47pm
OhMD,Hiring,"Sales, Engineering, Customer Success, Marketing",4/14/2020,6:43pm
Ohpen,Hiring,"Growth continues as normal (Engineering, Marketing, Sales, ++)",3/30/2020,4:38am
Oil and gas,Hiring,,4/10/2020,5:28pm
OKCoin,Hiring,"Multiple areas including: Product, Design, Finance, Development and HR",3/31/2020,3:54pm
"Okta, Inc.","Hiring,Hiring freeze",Hiring for posted open roles,4/2/2020,12:27pm
Ola,"Offers rescinded,Hiring freeze",,4/1/2020,12:51pm
Old Mission Capital,Hiring,,4/3/2020,3:21pm
Old Navy,"Hiring freeze,Hiring",One report of a hiring freeze for SWE and one report of hiring.,4/7/2020,4:22pm
Oliveboard ,Hiring,Reports of hiring and hiring freeze,4/9/2020,3:36am
Oliver Wyman,"Hiring freeze,Hiring",Global Hiring Freeze. 1 report of hiring.,4/1/2020,5:29pm
Ollie,Hiring,https://jobs.lever.co/myollie,4/3/2020,10:45am
Olo,Hiring freeze,Was told of hiring freeze during interview progression.,3/28/2020,9:18am
OluKai,Hiring freeze,,4/1/2020,6:15pm
Olx Group,Hiring freeze,"One report of a hiring freeze on ""Non-essentials"".",4/11/2020,9:11pm
Olympus ,Hiring freeze,Corporate-wide ,3/31/2020,8:19pm
OM Group Inc,Hiring,,3/30/2020,12:21pm
Omada Health,"Hiring freeze,Hiring",Reports of hiring and a hiring freeze. See below:,4/7/2020,3:37pm
Ombud,Hiring,,4/1/2020,12:28pm
OMD USA,Hiring freeze,Conflicting reports of hiring and hiring freeze,3/31/2020,12:44pm
Omio,Hiring freeze,Candidates start dates delayed. Kurtzarbeit for everyone.,4/2/2020,10:26am
Omnicell,"Hiring,Hiring freeze",All roles hiring frozen (4/10).,4/11/2020,5:53pm
Omnicom Health Group,Hiring,hiring actively,3/31/2020,4:51pm
Omnicom Media Group,Hiring freeze,Rescinded Offer,4/3/2020,7:20pm
OmniSci,Layoffs,,4/3/2020,11:58pm
OmniSci,Hiring freeze,Ceased interviews in progress. Recruiter told me interviewing is on pause until COVID-19 situation is figured out,3/30/2020,7:19pm
Omnitracs,Hiring,,3/30/2020,10:13am
Omnivision,Hiring,,3/31/2020,1:56am
Omnivore.io,Hiring freeze,,4/1/2020,8:57pm
Omron Healthcare,Layoffs,Regional offices layoffs,3/28/2020,1:23pm
Omron Robotics and Safety Technologies,Hiring,https://recruiting.adp.com/srccar/public/RTI.home?c=1087941&d=OMRON_USA,4/1/2020,7:57pm
ON Semiconductor,Hiring freeze,,3/28/2020,1:50pm
OnCall Health ,Hiring,"Cs, development, product, marketing ",4/3/2020,6:40pm
Oncor,Hiring freeze,,3/31/2020,6:05pm
OnCourse Learning,Hiring,,3/30/2020,1:06pm
OnDeck Capital,Hiring freeze,,4/10/2020,1:40pm
One Concern,Hiring,"Our 2020 hiring plan remains unchanged, full steam ahead",3/30/2020,3:40pm
One Door,Hiring freeze,,4/2/2020,12:31pm
One Finance,Hiring,Actively hiring for new roles company-wide,3/28/2020,4:23pm
One Medical,Hiring,"Hiring for many departments: Engineering, Data Science, Security, Sales, Legal, and Clinical",3/30/2020,2:14pm
One Planet Ops,Hiring freeze,,4/10/2020,10:52pm
OneLogin,"Hiring freeze,Layoffs",Reports of a hiring freeze and multiple claims of layoffs. See below:,4/10/2020,6:26pm
OneMain Financial,Hiring,,4/2/2020,8:21am
OnePlus,Layoffs,Multiple claims of layoffs. Details below:,4/15/2020,1:36pm
OneSignal,Hiring," Hiring for engineering, marketing, and operations roles",3/28/2020,11:56pm
OneSpan,Hiring,all positions,4/9/2020,5:13pm
OneStream Software,Hiring,Hiring across departments and locations,4/3/2020,9:45am
OneTrust,"Hiring freeze,Offers rescinded,Layoffs","Multiple claims of layoffs, hiring freeze, and offers rescinded. Details below:",4/17/2020,12:57pm
OneUpOneDown,Hiring,Certain roles,4/1/2020,4:42am
OneWeb,Layoffs,,4/2/2020,2:50am
Onex,Hiring,Deal team,4/1/2020,8:52pm
Onfido,Hiring freeze,,3/30/2020,5:06pm
onica,Hiring freeze,,4/3/2020,5:48pm
Onit,Hiring freeze,Offer Rescinded (Mar 23)- multiple reports of freeze,4/1/2020,2:11pm
Online Geniuses ,Hiring freeze,,4/5/2020,5:13pm
Onna,Hiring,"Design, Engineering, People, Product and Sales",4/1/2020,10:46am
OnSolve,Hiring,"Multiple roles and teams in multiple locations: Atlanta, GA;  Alpharetta, GA; Boston, MA; Ormond Beach, FL; and others. ",4/2/2020,11:24am
Ontario teachers,Hiring,,4/6/2020,3:48am
Ontruck,Layoffs,Laid off 25 employees,4/3/2020,9:16am
OnX,Hiring,,4/17/2020,6:01pm
Opal,Layoffs,Laid off 24 employees,4/2/2020,2:51am
OpenAI,Hiring,Actively hiring for all our open roles! Check out our jobs page for more info :) ,3/31/2020,1:09pm
OpenArc,Layoffs,Laying off Consultants under fear of not getting contracts.,4/2/2020,2:57pm
OpenBet,Layoffs,16 employees have been laid off,4/2/2020,6:26am
Opendoor,Layoffs,,4/15/2020,7:11pm
Opener,Hiring,,4/12/2020,11:51pm
Openet,Hiring,,3/31/2020,2:24am
OpenJaw Technologies,"Hiring freeze,Hiring",1 report of hiring.,4/11/2020,5:02pm
OpenTable,Hiring freeze,Company-wide. One additional report of a hiring freeze.,3/29/2020,9:01pm
OpenTeQ,Hiring,,3/31/2020,5:32pm
OpenText,"Hiring,Hiring freeze",Reports of hiring and a hiring freeze. See below:,4/13/2020,4:18pm
OpenView Venture Partners,Hiring,,3/30/2020,2:23pm
Opera Software,Hiring freeze,2 reports of hiring freeze,4/1/2020,3:04am
Operatives.com,Hiring,Hiring entry-level associates in Truckee or Reno only,4/3/2020,1:44pm
Oportun,Hiring freeze,Across the board except in Collections,4/1/2020,6:30pm
Oppd,Hiring freeze,,4/2/2020,4:19pm
OppLoans,Hiring,2 reports continued hiring,4/11/2020,7:47pm
Optimizely,"Hiring freeze,Hiring",We are not having layoffs. 1 report of hiring engineering.,4/2/2020,4:44pm
Optimove,Hiring freeze,,3/31/2020,5:46pm
Optiver,Hiring,"Actively hiring across the organisation, confirmed by company",3/30/2020,8:34am
Optoro,Hiring freeze,Hiring freeze across company for foreseeable future,4/7/2020,2:38pm
Optum,"Hiring freeze,Hiring",+2 reports of hiring,4/14/2020,12:22pm
Optum Global Solutions,Hiring,,4/16/2020,1:27pm
Optum Technology (UnitedHealth Group),Hiring freeze,,3/29/2020,1:38am
Optune,Hiring,We are looking for Front-End and Full Stack Developers,4/3/2020,10:13am
Opus Agency,Layoffs,Laid of 90+ employees o 04/02/20,4/3/2020,4:03pm
Opus Bank ,Hiring,,4/6/2020,5:07pm
Oracle,"Hiring freeze,Hiring",Multiple reports of a hiring freeze and continued hiring. Details below:,4/1/2020,1:15pm
Oracle NetSuite,Hiring,People given offers today and last week (4/13).,4/13/2020,5:35pm
Oracle OCI,"Hiring freeze,Offers rescinded","Conflicting reports of a hiring freeze, offers rescinded, hiring, and claims of layoffs. See below:",3/28/2020,6:21am
Orange,Hiring,OGP,3/30/2020,5:06pm
Orange Logic,Hiring,,3/31/2020,6:34pm
Orchard,"Hiring,Hiring freeze",Only product and engineering. Still hiring for tech and product.,4/1/2020,4:52pm
Ordergroove,Hiring freeze,,3/30/2020,10:24pm
Oregon state,Hiring,,3/31/2020,6:48pm
Orfium,Hiring,All teams,3/30/2020,1:54pm
origin,Hiring,,3/30/2020,9:33pm
Orion Labs,Hiring freeze,,3/31/2020,5:35pm
Orr group,Hiring freeze,,3/31/2020,5:38pm
OrthoFi,Hiring freeze,,4/9/2020,11:49am
Oscar Associates,Hiring,,4/7/2020,12:42pm
Oscar Health,Hiring,"Not sure about other departments, but definitely PEQ / Member Engagement. Another report of hiring - All roles still moving ahead across all teams (4/3)",3/31/2020,5:15pm
OSI Systems,Hiring,,3/30/2020,4:36pm
Osmosis,Hiring,,3/30/2020,5:38pm
OSRAM,Hiring freeze,,4/17/2020,11:37am
OTA Insight,Hiring,,4/3/2020,6:40am
Otis,Hiring,,4/15/2020,9:31am
Otis Elevator,"Hiring freeze,Hiring",Company representative reached out to Candor and confirmed they have reduced the roles they are hiring for. Further reports below:,4/16/2020,2:01pm
Otis Wealth,Hiring,Still hiring frontend and backend software engineers,3/31/2020,1:15pm
Otsuka,Hiring,,3/30/2020,5:31pm
Otto (GmbH & Co KG),Hiring freeze,,3/31/2020,3:40pm
Ouster,Hiring freeze,,4/6/2020,11:10pm
Outcomes4Me,Hiring,Jobs page: https://www.outcomes4me.com/careers,3/28/2020,9:54pm
Outdoorsy,Hiring freeze,3 reports of layoffs,4/2/2020,3:50am
Outlier.org,Hiring,12 roles open,3/30/2020,4:34pm
OutMatch,Layoffs,All,4/4/2020,4:22pm
OutNSocial,Hiring freeze,,3/29/2020,8:16pm
Outreach,Hiring,Talked to a recruiter last week and said they are still hiring and have no plans to slow down.,3/28/2020,1:43pm
Outschool,Hiring,,3/28/2020,12:25am
OutSystems,"Hiring,Hiring freeze",1 report of hiring,4/7/2020,12:03pm
Ovative Group,Hiring freeze,,4/4/2020,1:52pm
OverDrive,Hiring,https://company.overdrive.com/careers/,4/1/2020,10:24am
Overstock,Hiring,Hiring in the US and Ireland,3/29/2020,9:44am
Overview,Hiring,Computer Vision Engineers,3/30/2020,11:31am
Overwolf,Hiring,Still hiring all roles,3/30/2020,9:32am
Owens Corning,"Hiring,Hiring freeze",1 report of hiring (4/3) and 1 report of hiring freeze (4/12),4/12/2020,3:55pm
Owl Cyber Defense,Hiring,Mostly technical roles (Software Engineering),3/30/2020,7:16am
Own Up,Hiring freeze,No layoffs expected,3/30/2020,3:32pm
OYO,"Layoffs,Hiring freeze","Conflicting reports of hiring freeze, hiring, and layoffs. See below:",4/15/2020,7:12pm
Ozen ,Hiring,,4/6/2020,6:47pm
O’Reilly Media,Layoffs,,3/27/2020,11:17pm
P.I. Works,Hiring,,3/30/2020,3:58pm
P97,Hiring freeze,"Multiple reports- Layoffs, Hiring Freeze, 15% paycuts",3/30/2020,6:40pm
PA Consulting,Hiring freeze,,4/10/2020,12:53pm
Pabst,Hiring,,4/2/2020,9:15am
PACCAR ,Hiring freeze,One report,3/28/2020,10:50pm
Pace analytical,Hiring,,4/12/2020,3:15am
Pace University,Hiring freeze,,4/9/2020,2:14pm
Pachyderm,Hiring,,4/1/2020,9:05pm
Pacific Dental Services,Hiring freeze,"Internships only. Company-wide furloughs, reduced hours, reduced pay (4/5).",3/28/2020,4:57pm
pacific logistics,Hiring,,4/10/2020,7:41pm
Pacific Science,Hiring,,3/30/2020,1:07pm
PacketFabric,Hiring,"Business as usual, fully remote team working on critical infrastructure",3/30/2020,4:02pm
Paclintra,Hiring,Hiring 2020 intern,4/16/2020,7:42pm
paddle,Hiring,,4/1/2020,6:30am
Pager,Hiring,Actively interviewing for positions in NYC,4/9/2020,11:48am
PagerDuty,Hiring,,3/28/2020,6:24pm
Pakistan,Hiring,,3/31/2020,1:32pm
Palantir,"Hiring,Hiring freeze",Reports of a hiring freeze and hiring. See below:,4/7/2020,10:57am
Pall Corporation,"Hiring freeze,Hiring",One report concerning tech teams in analytics space - manufacturing  might still be hiring,3/28/2020,10:14pm
Palo Alto Health,Hiring,,4/10/2020,12:55am
Palo Alto Networks,"Hiring,Hiring freeze",Conflicting reports of hiring and hiring freeze. Details below:,4/6/2020,4:50pm
Palo IT,Hiring,,3/29/2020,5:48am
Pana,Layoffs,Recruiter I know was laid off in the past weej,3/29/2020,11:31pm
Panasonic,"Hiring,Hiring freeze",+1 report of a hiring freeze with no note,4/16/2020,1:29pm
Panasonic Avionic Corporation,Hiring freeze,Panasonic Avionics Corporation has paused hiring interns,4/16/2020,5:49pm
Panasonic Energy of North America,Hiring freeze,Hiring freeze announced as of 4/9,4/14/2020,7:54pm
PandaDoc,"Hiring,Hiring freeze",1 report of hiring,4/6/2020,5:50pm
Pandora,Hiring,Reports of continued hiring and a hiring freeze. See below: ,3/29/2020,10:05am
PANews,Hiring,"Hiring globally, reach out from contact on website ",3/31/2020,12:23am
PANONY,Hiring,Globally ,3/31/2020,12:22am
Panorama Education,Hiring freeze,,3/30/2020,8:07am
Pantera Capital,Hiring,Hiring machine learning roles,4/3/2020,5:18pm
Pantheon ,Hiring freeze,Sales,3/31/2020,4:48pm
Panzura,Hiring freeze,All roles,4/10/2020,5:41am
Pape Dawson ,Hiring,,4/14/2020,1:54pm
Papercup,Hiring,"Hiring across all teams - engineering, machine learning, and customer!",3/31/2020,9:06am
Par pacific ,Hiring,,3/31/2020,11:39pm
Parabola,Hiring,Actively hiring company-wide,3/28/2020,4:26pm
Parachute Home,Hiring freeze,,4/2/2020,2:32pm
Paradigm Talent Agency,Layoffs,https://www.latimes.com/entertainment-arts/business/story/2020-03-20/coronavirus-crisis-hits-talent-agencies-as-paradigm-lays-off-100-staff?_amp=true,4/12/2020,12:00pm
Paradox Insurance Agency,Hiring,Sales Team,3/30/2020,6:21pm
Paragon,Hiring,Security guard,3/31/2020,3:31pm
Parallel Markets,Hiring,Full stack engineers at all stages,3/31/2020,9:31am
PARALLEL WIRELESS INC,Hiring freeze,,4/6/2020,7:16pm
Param Solutions (param-solutions.com),Hiring,We are hiring for multiple roles across different clients,4/3/2020,1:35pm
Paramount Pictures,Hiring,Summer MBA Interns proceeding as normal,3/30/2020,10:29am
Paraxel,Hiring freeze,Software engineering department,3/28/2020,1:51pm
Pared,Layoffs,,3/29/2020,2:01pm
Parexel,Hiring,International BD roles still hiring.,3/31/2020,9:40am
Pariveda Solutions,Hiring freeze,,4/1/2020,4:03pm
Park Place Dealerships,Layoffs,4/15 Just laid off about 400 people,4/4/2020,2:50pm
Parker Hannifin ,Hiring freeze,10% pay cut corporate-wide and furloughs- multiple reports,3/30/2020,7:59pm
Parker Hannifin Corporation,Hiring freeze,10% pay cut corporate-wide and furloughs,4/4/2020,3:28am
Parkside Technologies,Hiring,"UX Designer, QA Engineer, Cloud Ops Engineer ",3/31/2020,6:28pm
Paro.io,Layoffs,,4/2/2020,4:16pm
Parsable,Layoffs,Multiple claims of layoffs. Details below:,4/17/2020,6:31pm
Parsley Health,Layoffs,Broad layoffs across the organization- 3 reports of layoffs,4/1/2020,3:22pm
Parsons,Hiring,+1 new report of hiring with no note,4/8/2020,5:24pm
Parthenon,Hiring freeze,,4/6/2020,7:45pm
Partner,Hiring,,4/3/2020,10:05pm
PartnerHero,Hiring,Hiring full-time employees (with benefits) in the US and globally,4/8/2020,12:30pm
Partners Healthcare,Hiring freeze,All Partners Healthcare & Affiliates ,3/31/2020,10:47pm
Partnerstack,Hiring,,4/3/2020,10:06pm
Passport Inc,Hiring freeze,,4/1/2020,9:04pm
Patagonia ,Hiring,Reports of hiring and hiring freeze,4/2/2020,7:30pm
Patch Plants,Hiring,https://www.patchplants.com/gb/en/careers/,4/17/2020,10:02am
Patch Plants,Hiring,Particularly hiring marketing roles. Can apply on LinkedIn.,4/3/2020,6:18pm
PathAI,Hiring,,4/8/2020,10:34am
PathFactory,Layoffs,Layoff 25% of staff. Hiring is also freeze.,3/31/2020,5:44pm
Pathlight,Hiring,,3/31/2020,4:35pm
Patient Pop,Layoffs,,4/1/2020,12:49pm
Patientco,Hiring freeze,"Laid off 10%, temporary paycut, hiring freeze until end of the year.",4/9/2020,12:50pm
PatientPing,"Hiring,Hiring freeze","Conflicting reports of layoffs, hiring, and hiring freeze. See below:",4/8/2020,12:54pm
PatientPop,Layoffs,Multiple claims of layoffs and a few of a hiring freeze. See below: ,4/2/2020,12:00am
Patreon,Hiring,,4/2/2020,2:54am
Patriot Software,Hiring,,3/30/2020,1:05pm
Patron Technology,Layoffs,Entire team affected - 5 reports,4/6/2020,12:49am
Paxos,Hiring,All roles,3/30/2020,8:09am
PayActiv,Hiring,Product Team,4/7/2020,10:09pm
Paychex ,Hiring,Still hiring for all divisions in all states. ,3/30/2020,9:56pm
Paycom,"Hiring,Hiring freeze",Reports of a hiring freeze and hiring. Details below:,4/1/2020,12:41pm
Paycor,Hiring,,4/14/2020,1:20pm
Payfit,"Hiring,Hiring freeze","Hiring Sales, Growth, Product in Europe. One report of a hiring freeze noting Product.",4/8/2020,5:55pm
PayJoy,Hiring,,3/31/2020,1:31pm
PayJunction,Hiring freeze,,3/30/2020,3:41pm
Paylocity,Hiring,Summer Internship still happening.,3/31/2020,2:04pm
Paymentus,Hiring,,4/9/2020,11:48pm
Payoneer,Hiring freeze,Software engineer,3/30/2020,2:59pm
PayPal,Hiring,"Confirmed at company meeting by CEO. Moving to online (virtual) internships. Additional report of hiring specifying ""Data Scientist, Software Engineer, Product Manager, Program Manager"" (4/10).",4/2/2020,2:55am
PayScale,"Layoffs,Hiring freeze",Reports of layoff claims and a hiring freeze. See below:,4/2/2020,12:59pm
Paystand,"Hiring,Hiring freeze","1 report of hiring for Engineers, Sales, Marketing, IT and Operations. 1 report of a hiring freeze - Was in the process of completing interview for AE, then informed they would no longer be hiring AE’s due to this crisis (4/3).",4/6/2020,4:25pm
Paytm,Hiring,6 reports of hiring,3/31/2020,11:41pm
PayU,Hiring,Multiple reports,4/3/2020,9:07am
PBF Energy,Hiring freeze,,3/30/2020,1:52pm
